Day,Date,,,,,,,,,,,,,,
Wednesday,2018-09-12,Spaghetti Neapolitan,Buttered rice with raisin,Baked fish fillet w brown tomato sauce,"Baked b,less chicken leg w cajun sauce",Sauteed potato,Baked cauliflower with cheese,Salted mix mushroom with onion,Chicken nuggets,Watermelon,,,,,
Thursday,2018-09-13,ABC soup,Kam Hiang Chicken,Deep fried pollock fish,Steam chicken mince with pumpkin,Honey fishball,Steam egg,Breaded spinach ball,Twin fungus with vegetable,Vegetable curry,Long cabbage with mushroom,Bobo cha cha,,,
Friday,2018-09-14,Sweet radish egg soup,Pineapple  with Hot & Spicy Chicken,Sambal Shrimp Meat,Cajun baked fish with BBQ sauce,Ma po beancurd,Stir fried potato,BBQ cocktail sausage,Stir fried cabbage,Teow choe pak oyster sauce,Chye sim with garlic,Banana,,,
Sunday,2018-09-16,Fish maw soup,Roast boneless chic w brown sauce,BBQ chicken drumlet,Taucu fish fillet,Black pepper taupok,Sweet and sour potato,Fish nuggets,Siew pack choy w oyster sauce,French bean dry shrimp,Stir fried beansprout,Almond jelly,,,
Monday,2018-09-17,Seaweed taufu fish ball soup,Black bean chicken,Portuguese baked fish fillet,Hot & spicy beef fillet,Deep Fried Wantan,Stir fried potato with green peas,Breaded fish finger,Spinach chef stock,French bean garlic,Winter melon with dry shrimp,Barley with beancurd stick,,,
Tuesday,2018-09-18,Steam JPN rice,Chicken yakitori,Deep fried seaweed cheese roll,Hibachi vegetable,"Laksa noodle wTaupok, & Gravy",De-shell prawn ,Fish ball,Hard boil egg,Briyani rice,Tandori chicken drumstick,Curry egg,Alchar vegetable,Papadum,Banana
Wednesday,2018-09-19,BBQ chicken chop,Breaded fish cutlet,Mash potato,Breaded spinach ball with cheese,BBQ baked beans,Onion rings,Coleslaw,Red apple,,,,,,
Thursday,2018-09-20,Szechuan vegetable soup,Mutton curry with potato,Steam fish with garlic chili flake,Chicken with oyster sauce,Braised egg,Steam beancurd w salted egg yolk,Black pepper fish ball,Twin fungus with vegetable,Stir fried cabbage,Kai lan with oyster sauce,Bubur gamdum,,,
Friday,2018-09-21,Watercress soup,Char Siew Boneless Chciken Leg,Kam Hiang Fish Fillet,Crispy squid w golden egg yolk powder,Stir fried potato with thai chili sauce,Sweet & sour chicken sausage,Chicken nuggets,Siew pack choy with oyster sauce,Stir fried ladies finger,Broccoli with mushroom,Orange,,,
Sunday,2018-09-23,Ginger egg soup,Thai boneless Chicken leg,Steam fish fillet w choy po & chili,Chik kut Teh drumstick,Onion fried egg,Braised beancurd,Thai fish cake,Sze chuan brinjal,Lo han Vegatable,Stir fried beansprout,Mango pudding,,,
